※ 매년 말일자 통계 현황,,,,,,,
,,2011년,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4374000000,충청북도 영동군 ,"50,621","22,025",          2.30,"25,230","25,391",          0.99
4374025000,충청북도 영동군 영동읍,"21,653","8,627",          2.51,"10,900","10,753",          1.01
4374031000,충청북도 영동군 용산면,"3,722","1,662",          2.24,"1,888","1,834",          1.03
4374032000,충청북도 영동군 황간면,"4,693","2,102",          2.23,"2,309","2,384",          0.97
4374033500,충청북도 영동군 추풍령면,"2,579","1,166",          2.21,"1,255","1,324",          0.95
4374034000,충청북도 영동군 매곡면,"2,107",999,          2.11,"1,032","1,075",          0.96
4374035000,충청북도 영동군 상촌면,"2,510","1,230",          2.04,"1,222","1,288",          0.95
4374036000,충청북도 영동군 양강면,"3,548","1,538",          2.31,"1,785","1,763",          1.01
4374037000,충청북도 영동군 용화면,"1,057",515,          2.05,523,534,          0.98
4374038000,충청북도 영동군 학산면,"3,077","1,500",          2.05,"1,495","1,582",          0.95
4374039000,충청북도 영동군 양산면,"2,079","1,020",          2.04,"1,032","1,047",          0.99
4374040000,충청북도 영동군 심천면,"3,596","1,666",          2.16,"1,789","1,807",          0.99
4374500000,충청북도 증평군 ,"34,009","14,091",          2.41,"17,480","16,529",          1.06
4374525000,충청북도 증평군 증평읍,"31,661","13,072",          2.42,"16,277","15,384",          1.06
4374531000,충청북도 증평군 도안면,"2,348","1,019",          2.30,"1,203","1,145",          1.05
4375000000,충청북도 진천군 ,"63,051","26,488",          2.38,"32,604","30,447",          1.07
4375025000,충청북도 진천군 진천읍,"29,069","11,543",          2.52,"14,777","14,292",          1.03
4375031000,충청북도 진천군 덕산면,"5,828","2,557",          2.28,"3,105","2,723",          1.14
4375032000,충청북도 진천군 초평면,"3,741","1,629",          2.30,"1,902","1,839",          1.03
4375033000,충청북도 진천군 문백면,"3,973","1,813",          2.19,"2,083","1,890",          1.10
4375034000,충청북도 진천군 백곡면,"2,215","1,100",          2.01,"1,125","1,090",          1.03
4375035000,충청북도 진천군 이월면,"7,834","3,513",          2.23,"4,118","3,716",          1.11
4375037000,충청북도 진천군 광혜원면,"10,391","4,333",          2.40,"5,494","4,897",          1.12
4376000000,충청북도 괴산군 ,"37,333","17,805",          2.10,"18,896","18,437",          1.02
4376025000,충청북도 괴산군 괴산읍,"9,398","4,121",          2.28,"4,691","4,707",          1.00
4376031000,충청북도 괴산군 감물면,"1,954",944,          2.07,980,974,          1.01
4376032000,충청북도 괴산군 장연면,"1,987",980,          2.03,"1,024",963,          1.06
4376033000,충청북도 괴산군 연풍면,"2,567","1,234",          2.08,"1,299","1,268",          1.02
4376034000,충청북도 괴산군 칠성면,"2,930","1,400",          2.09,"1,451","1,479",          0.98
4376035000,충청북도 괴산군 문광면,"2,060","1,041",          1.98,"1,038","1,022",          1.02
4376036000,충청북도 괴산군 청천면,"5,120","2,617",          1.96,"2,592","2,528",          1.03
4376037000,충청북도 괴산군 청안면,"3,356","1,653",          2.03,"1,742","1,614",          1.08
4376039000,충청북도 괴산군 사리면,"3,021","1,415",          2.13,"1,545","1,476",          1.05
