,행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
68,1120072000,서울특별시성동구송정동,"10,516","5,600",1.88,"5,551","4,965",1.12
69,1120079000,서울특별시성동구용답동,"11,647","7,075",1.65,"6,047","5,600",1.08
70,1121500000,서울특별시광진구,"339,996","167,949",2.02,"164,058","175,938",0.93
71,1121571000,서울특별시광진구화양동,"23,138","17,777",1.3,"11,037","12,101",0.91
72,1121573000,서울특별시광진구군자동,"19,591","11,323",1.73,"9,689","9,902",0.98
73,1121574000,서울특별시광진구중곡제1동,"15,496","8,378",1.85,"7,510","7,986",0.94
74,1121575000,서울특별시광진구중곡제2동,"21,428","10,645",2.01,"10,105","11,323",0.89
75,1121576000,서울특별시광진구중곡제3동,"16,135","8,461",1.91,"7,995","8,140",0.98
76,1121577000,서울특별시광진구중곡제4동,"28,577","13,174",2.17,"13,991","14,586",0.96
77,1121578000,서울특별시광진구능동,"11,301","6,401",1.77,"5,211","6,090",0.86
78,1121581000,서울특별시광진구광장동,"34,665","11,910",2.91,"16,787","17,878",0.94
79,1121582000,서울특별시광진구자양제1동,"22,285","11,911",1.87,"10,822","11,463",0.94
80,1121583000,서울특별시광진구자양제2동,"24,632","11,014",2.24,"11,937","12,695",0.94
81,1121584000,서울특별시광진구자양제3동,"28,073","11,093",2.53,"13,418","14,655",0.92
82,1121584700,서울특별시광진구자양제4동,"17,957","9,959",1.8,"8,942","9,015",0.99
83,1121585000,서울특별시광진구구의제1동,"21,542","12,154",1.77,"10,254","11,288",0.91
84,1121586000,서울특별시광진구구의제2동,"26,522","11,593",2.29,"12,797","13,725",0.93
85,1121587000,서울특별시광진구구의제3동,"28,654","12,156",2.36,"13,563","15,091",0.9
86,1123000000,서울특별시동대문구,"337,400","168,219",2.01,"166,646","170,754",0.98
87,1123053600,서울특별시동대문구용신동,"31,619","18,938",1.67,"15,897","15,722",1.01
88,1123054500,서울특별시동대문구제기동,"24,617","13,423",1.83,"12,612","12,005",1.05
89,1123056000,서울특별시동대문구전농제1동,"29,198","14,863",1.96,"14,627","14,571",1.0
90,1123057000,서울특별시동대문구전농제2동,"18,557","7,642",2.43,"8,935","9,622",0.93
91,1123060000,서울특별시동대문구답십리제1동,"28,991","13,089",2.21,"13,984","15,007",0.93
92,1123061000,서울특별시동대문구답십리제2동,"28,334","12,656",2.24,"13,781","14,553",0.95
93,1123065000,서울특별시동대문구장안제1동,"38,241","18,428",2.08,"18,930","19,311",0.98
94,1123066000,서울특별시동대문구장안제2동,"32,484","14,056",2.31,"16,210","16,274",1.0
95,1123070500,서울특별시동대문구청량리동,"18,813","9,675",1.94,"9,343","9,470",0.99
96,1123071000,서울특별시동대문구회기동,"10,498","6,549",1.6,"5,000","5,498",0.91
97,1123072000,서울특별시동대문구휘경제1동,"13,927","7,624",1.83,"6,633","7,294",0.91
98,1123073000,서울특별시동대문구휘경제2동,"24,115","12,114",1.99,"12,043","12,072",1.0
99,1123074000,서울특별시동대문구이문제1동,"18,019","10,418",1.73,"8,993","9,026",1.0
100,1123075000,서울특별시동대문구이문제2동,"19,987","8,744",2.29,"9,658","10,329",0.94
101,1126000000,서울특별시중랑구,"387,350","185,712",2.09,"191,112","196,238",0.97
102,1126052000,서울특별시중랑구면목제2동,"24,049","12,180",1.97,"12,000","12,049",1.0
103,1126054000,서울특별시중랑구면목제4동,"19,029","9,137",2.08,"9,470","9,559",0.99
104,1126055000,서울특별시중랑구면목제5동,"14,784","6,439",2.3,"7,421","7,363",1.01
105,1126056500,서울특별시중랑구면목본동,"33,478","17,660",1.9,"16,582","16,896",0.98
106,1126057000,서울특별시중랑구면목제7동,"21,756","10,600",2.05,"10,934","10,822",1.01
