,,,,매출금액,매출금액,매출금액,매출금액,매출금액,매출금액
연도,,,,2017,2018,2019,2020,2021,2022
행정구역 구분 코드,행정구역 명,생활밀접업종 분류코드,생활밀접업종명,,,,,,
1,경기도,2,두발 미용업,982954656607.0,1042614515414.0,1103469601160.0,1035365255381.0,1035482571823.0,265426806894.0
1,경기도,2,방문 교육학원,30101663847.0,36175653843.0,43490698036.0,42283242674.0,51521413358.0,13688814088.0
1,경기도,2,부동산 중개 및 대리업,131037499313.0,121256959650.0,123483348705.0,107113033291.0,101185004404.0,23349047636.0
1,경기도,2,여관업,497785434829.0,523292433749.0,523905316199.0,418452648060.0,418511451901.0,109102703612.0
1,경기도,2,외국어학원,180703078294.0,184693856525.0,192080304775.0,161373492533.0,161383807015.0,52267229362.0
1,경기도,2,일반 교과학원,1509296781559.0,1569541059481.0,1722287063679.0,1508614785590.0,1508916224691.0,436114143203.0
1,경기도,2,일반의원,1488369200749.0,1575664787617.0,1627640914474.0,1472882024541.0,1472974972708.0,419023124432.0
1,경기도,2,자동차 세차업,98732094495.0,111119870693.0,128232410190.0,135457801288.0,135456459614.0,40905093306.0
1,경기도,2,자동차 전문 수리업,1099656039996.0,1167448403188.0,1163696998773.0,1152589347700.0,1152502977496.0,275757755265.0
1,경기도,2,체력 단련시설 운영업,180752126319.0,193751375044.0,220720299812.0,184250940538.0,184230665206.0,72182694355.0
1,경기도,2,치과의원,1082528626912.0,1085292836055.0,1133944364066.0,1027453967757.0,1027553142339.0,301877866071.0
1,경기도,2,컴퓨터 게임방 운영업,245498777847.0,331425993264.0,406797372778.0,275602069412.0,275583350168.0,59013439152.0
1,경기도,2,피부 미용업,150990041853.0,162942974554.0,175724205594.0,149486425750.0,149441314655.0,39966337635.0
1,경기도,2,한의원,678387262055.0,720724849018.0,757068099710.0,679038318112.0,679031914563.0,175804096614.0
1,경기도,3,기타 주점업,1341774034895.0,1490718093439.0,1482458958542.0,1190655309461.0,992880773936.0,200066788702.0
1,경기도,3,김밥 및 기타 간이 음식점업,940026993652.0,1128601880697.0,1274251583720.0,1227809504975.0,1227562956131.0,241600304900.0
1,경기도,3,서양식 음식점업,513093399817.0,617679562913.0,684845907884.0,727935423746.0,774048863086.0,188814638622.0
1,경기도,3,일식 음식점업,505342269791.0,563348685198.0,600085570643.0,601144828860.0,601110877966.0,152565087534.0
1,경기도,3,제과점업,786102199519.0,856917632792.0,891151175089.0,848202930452.0,848258501451.0,212551651452.0
1,경기도,3,중식 음식점업,879928622764.0,1000890672011.0,1113455350738.0,1112441569569.0,1112622487027.0,273514299267.0
1,경기도,3,한식 육류 요리 전문점,39240045399.0,35366353717.0,34941869443.0,25490277428.0,25799180514.0,5440855078.0
1,경기도,3,한식 일반 음식점업,6510552615535.0,6493140276900.0,6709032736384.0,6267151399259.0,6268249267121.0,1369600492171.0
2,가평군,1,가구 소매업,426963911.0,512076015.0,524952598.0,734021565.0,734070780.0,78968508.0
2,가평군,1,가방 및 기타 가죽제품 소매업,19001232.0,13002014.0,7999276.0,40530888.0,28664090.0,3372314.0
2,가평군,1,가전제품 소매업,3464758929.0,2733159494.0,2137124551.0,1747868197.0,1748105390.0,255063781.0
2,가평군,1,가정용 직물제품 소매업,293998587.0,284998956.0,342025332.0,533076821.0,532945365.0,109769893.0
2,가평군,1,건강 보조식품 소매업,555969160.0,701865445.0,398027290.0,97000552.0,96999374.0,13561417.0
2,가평군,1,"게임용구, 인형 및 장난감 소매업",65230166.0,41712557.0,,,,
2,가평군,1,"곡물, 곡분 및 가축 사료 소매업",1024591316.0,1063453003.0,1871108949.0,1820120124.0,2347396477.0,552698223.0
2,가평군,1,그 외 기타 분류 안된 가정용품 소매업,588998393.0,510996220.0,637001031.0,511002067.0,565122301.0,94922658.0
2,가평군,1,기타 식료품 소매업,1686151019.0,1661025636.0,2744447874.0,4719163714.0,4964579343.0,984678376.0
2,가평군,1,기타 음ㆍ식료품 위주 종합 소매업,12426270661.0,12082979931.0,13591344352.0,11845170016.0,11843753629.0,3607969260.0
2,가평군,1,기타 의복 소매업,4103024762.0,4867226385.0,2890541600.0,3316101681.0,3316638591.0,433754402.0
2,가평군,1,남자용 겉옷 소매업,662787002.0,278396974.0,237451397.0,756992054.0,756978258.0,271679940.0
2,가평군,1,문구용품 및 회화용품 소매업,2284257972.0,2074641887.0,2074078036.0,822001949.0,821949037.0,142185331.0
2,가평군,1,"서적, 신문 및 잡지류 소매업",541949557.0,772790086.0,950926462.0,955133101.0,954925119.0,454797622.0
2,가평군,1,속옷 및 잠옷 소매업,429944601.0,378924321.0,319984981.0,551025230.0,550956219.0,126898284.0
2,가평군,1,슈퍼마켓,5658993351.0,6561845662.0,4504509499.0,13110124981.0,13110595507.0,2772647850.0
2,가평군,1,시계 및 귀금속 소매업,678035307.0,596005576.0,465989638.0,892080809.0,892108614.0,346806844.0
2,가평군,1,신발 소매업,587625538.0,651351298.0,603262562.0,562113863.0,556405971.0,71843450.0
2,가평군,1,안경 및 렌즈 소매업,575041594.0,572912524.0,607045175.0,1891693152.0,1890852040.0,389694180.0
2,가평군,1,애완용 동물 및 관련용품 소매업,574911248.0,446066486.0,633097595.0,1556265009.0,1557683506.0,323525935.0
2,가평군,1,운동 및 경기용품 소매업,2581646240.0,2068831264.0,3599906209.0,759013291.0,758948130.0,197091660.0
2,가평군,1,육류 소매업,15309232179.0,12470252833.0,14362640550.0,5315981486.0,5315848858.0,1299043779.0
2,가평군,1,의약품 및 의료용품 소매업,16516384763.0,18009514688.0,21567789014.0,25908001850.0,25883556204.0,7369635380.0
2,가평군,1,자전거 및 기타 운송장비 소매업,210952864.0,169981876.0,208497066.0,148778243.0,306241289.0,2215347190.0
2,가평군,1,전기용품 및 조명장치 소매업,217054362.0,359100073.0,669050826.0,147978347.0,148000469.0,25726530.0
2,가평군,1,전자상거래 소매업,116563982.0,141393238.0,80137853.0,84358510.0,84910928.0,107496116.0
2,가평군,1,"주방용품 및 가정용 유리, 요업제품 소매업",1082049674.0,1142864283.0,1216734178.0,1573539489.0,1574100354.0,307660666.0
2,가평군,1,철물 및 난방용구 소매업,1010043777.0,988004778.0,533021213.0,1337120131.0,1336883123.0,368119058.0
2,가평군,1,체인화 편의점,37683243079.0,41589837757.0,41923561018.0,38334303557.0,38336456283.0,8369031923.0
2,가평군,1,"컴퓨터 및 주변장치, 소프트웨어 소매업",1507838785.0,1557117248.0,1674290347.0,1064686526.0,1065078788.0,285126278.0
2,가평군,1,통신기기 소매업,313981723.0,504788804.0,468482707.0,448771777.0,316092065.0,62967996.0
2,가평군,1,"페인트, 창호 및 기타 건설자재 소매업",887676431.0,998314496.0,921759006.0,205977167.0,206035411.0,29241878.0
2,가평군,1,"화장품, 비누 및 방향제 소매업",2889120827.0,1262988453.0,1102169137.0,826966089.0,826887730.0,177981726.0
2,가평군,1,화초 및 식물 소매업,1651029696.0,1824413130.0,2967755252.0,2074675788.0,2073760516.0,439002744.0
2,가평군,2,가전제품 수리업,527751842.0,527376861.0,459908611.0,530868678.0,421352356.0,139539690.0
2,가평군,2,가정용 세탁업,305919816.0,414103196.0,518911582.0,550047214.0,549979465.0,168141393.0
2,가평군,2,골프 연습장 운영업,768137936.0,874074874.0,980199337.0,1891688698.0,1893105992.0,1158650429.0
2,가평군,2,기숙사 및 고시원 운영업,255290207.0,238385732.0,210538987.0,261264276.0,102793162.0,29569732.0
2,가평군,2,기타 교습학원,82297385.0,125791335.0,210030886.0,322029885.0,319093271.0,67825960.0
2,가평군,2,기타 미용업,71995207.0,74996332.0,37000615.0,218009971.0,217942710.0,16698207.0
2,가평군,2,기타 예술학원,58555183.0,59979693.0,85723148.0,261991270.0,262011178.0,96507707.0
2,가평군,2,노래 연습장 운영업,1560546020.0,1854435077.0,1514267440.0,775472447.0,775201203.0,115810397.0
2,가평군,2,당구장 운영업,430871051.0,531769604.0,800582657.0,392883779.0,393038041.0,79162474.0
2,가평군,2,두발 미용업,1853903356.0,2315750825.0,2440575027.0,3269253818.0,3268718690.0,844058588.0
2,가평군,2,방문 교육학원,1399412.0,8226707.0,15504440.0,7261322.0,7917434.0,
2,가평군,2,부동산 중개 및 대리업,493470249.0,444703628.0,160020309.0,59934567.0,216361861.0,29389484.0
2,가평군,2,여관업,6007970168.0,5617162712.0,6187088719.0,2726989649.0,2727046510.0,536422938.0
2,가평군,2,외국어학원,248309148.0,517447672.0,698517749.0,320272644.0,492206072.0,118923740.0
2,가평군,2,일반 교과학원,2220220394.0,1882120072.0,2765071540.0,2577210610.0,2577048756.0,1288823071.0
2,가평군,2,일반의원,5025717974.0,5175068014.0,5855895583.0,5635095304.0,5636749251.0,1397273684.0
2,가평군,2,자동차 세차업,238971137.0,250977501.0,516927895.0,345065802.0,345016432.0,80680528.0
2,가평군,2,자동차 전문 수리업,6859561238.0,7212150038.0,6669649730.0,7210349020.0,7210932818.0,1409603826.0
2,가평군,2,체력 단련시설 운영업,197010856.0,275020060.0,283997944.0,262982067.0,263024207.0,72363236.0
2,가평군,2,치과의원,4493292486.0,5107707497.0,6442074043.0,4861471846.0,4860695144.0,1318573795.0
2,가평군,2,컴퓨터 게임방 운영업,796994083.0,981961506.0,1209014030.0,1890134869.0,1889999751.0,357667597.0
2,가평군,2,피부 미용업,188975628.0,278988107.0,353131708.0,337025771.0,337032409.0,102663084.0
2,가평군,2,한의원,2385905642.0,2734002992.0,2790153036.0,3146214029.0,3244923266.0,725571178.0
2,가평군,3,기타 주점업,517970596.0,527014613.0,635958236.0,2659614205.0,2660499883.0,282253392.0
2,가평군,3,김밥 및 기타 간이 음식점업,3047436355.0,3300151893.0,3953496914.0,5518543656.0,5518238120.0,979575027.0
2,가평군,3,서양식 음식점업,2494953636.0,3393863593.0,3152952605.0,2422996716.0,2422961668.0,512667518.0
2,가평군,3,일식 음식점업,901910831.0,1172872473.0,1065091353.0,1426114933.0,1426111890.0,293944328.0
2,가평군,3,제과점업,2548203288.0,3865541556.0,4437073674.0,4305269742.0,4304444867.0,1009674969.0
2,가평군,3,중식 음식점업,5077363994.0,5908265991.0,6589423470.0,6288478449.0,6291348133.0,1304009832.0
2,가평군,3,한식 일반 음식점업,52391216605.0,51018191508.0,53319559387.0,47953958295.0,47951654456.0,8833819087.0
2,고양시,1,가구 소매업,89345193429.0,90968721749.0,84750988858.0,68299393596.0,68300856018.0,11745096948.0
2,고양시,1,가방 및 기타 가죽제품 소매업,6951328942.0,7257720229.0,6159774071.0,3245348015.0,2804901342.0,395412376.0
2,고양시,1,가전제품 소매업,29847848920.0,34102805368.0,39468765372.0,42007972241.0,42003335339.0,7448892559.0
2,고양시,1,가정용 직물제품 소매업,16749934310.0,17817769399.0,16222970987.0,16833525252.0,16835239913.0,3298641334.0
2,고양시,1,건강 보조식품 소매업,16529893039.0,17466007688.0,19472810784.0,15514824028.0,15508252665.0,3634856880.0
2,고양시,1,"게임용구, 인형 및 장난감 소매업",14669908100.0,12255182665.0,13072497718.0,14560625696.0,14561818004.0,2808684732.0
2,고양시,1,"곡물, 곡분 및 가축 사료 소매업",8446364530.0,10439508119.0,6442085685.0,9073726372.0,9076592020.0,1840285802.0
2,고양시,1,그 외 기타 분류 안된 가정용품 소매업,6296031499.0,5967106906.0,7263744434.0,7508886910.0,7509189221.0,2022743048.0
