※ 매년 말일자 통계 현황,,,,,,,,,,,,,,,,,,,
,,2018년,,,,,,2019년,,,,,,2020년,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4688000000,전라남도 장성군 ,"45,795","22,095",          2.07,"23,205","22,590",          1.03,"45,739","22,850",          2.00,"23,489","22,250",          1.06,"44,464","23,178",          1.92,"22,781","21,683",          1.05
4688025000,전라남도 장성군 장성읍,"13,532","6,237",          2.17,"6,719","6,813",          0.99,"13,727","6,451",          2.13,"6,810","6,917",          0.98,"13,517","6,583",          2.05,"6,693","6,824",          0.98
4688031000,전라남도 장성군 진원면,"3,760","1,713",          2.19,"1,891","1,869",          1.01,"3,736","1,712",          2.18,"1,882","1,854",          1.02,"3,694","1,767",          2.09,"1,864","1,830",          1.02
4688032000,전라남도 장성군 남면,"3,636","1,891",          1.92,"1,896","1,740",          1.09,"3,759","2,045",          1.84,"1,985","1,774",          1.12,"3,726","2,151",          1.73,"2,005","1,721",          1.17
4688033000,전라남도 장성군 동화면,"1,989","1,048",          1.90,"1,051",938,          1.12,"1,887","1,031",          1.83,"1,012",875,          1.16,"1,852","1,076",          1.72,977,875,          1.12
4688034000,전라남도 장성군 삼서면,"3,277","1,662",          1.97,"1,689","1,588",          1.06,"3,642","2,102",          1.73,"2,088","1,554",          1.34,"3,378","1,940",          1.74,"1,873","1,505",          1.24
4688035000,전라남도 장성군 삼계면,"6,809","2,857",          2.38,"3,521","3,288",          1.07,"6,596","2,855",          2.31,"3,433","3,163",          1.09,"6,152","2,848",          2.16,"3,191","2,961",          1.08
4688036000,전라남도 장성군 황룡면,"4,385","2,178",          2.01,"2,188","2,197",          1.00,"4,168","2,138",          1.95,"2,089","2,079",          1.00,"4,098","2,206",          1.86,"2,073","2,025",          1.02
4688037000,전라남도 장성군 서삼면,"1,623",836,          1.94,843,780,          1.08,"1,594",846,          1.88,842,752,          1.12,"1,556",861,          1.81,816,740,          1.10
4688038000,전라남도 장성군 북일면,"1,472",797,          1.85,729,743,          0.98,"1,405",792,          1.77,698,707,          0.99,"1,387",817,          1.70,695,692,          1.00
4688039000,전라남도 장성군 북이면,"2,994","1,547",          1.94,"1,497","1,497",          1.00,"2,920","1,538",          1.90,"1,468","1,452",          1.01,"2,886","1,573",          1.83,"1,446","1,440",          1.00
4688040000,전라남도 장성군 북하면,"2,318","1,329",          1.74,"1,181","1,137",          1.04,"2,305","1,340",          1.72,"1,182","1,123",          1.05,"2,218","1,356",          1.64,"1,148","1,070",          1.07
4689000000,전라남도 완도군 ,"51,477","25,835",          1.99,"25,822","25,655",          1.01,"50,689","25,872",          1.96,"25,457","25,232",          1.01,"49,916","26,241",          1.90,"25,099","24,817",          1.01
4689025000,전라남도 완도군 완도읍,"18,810","8,792",          2.14,"9,507","9,303",          1.02,"18,555","8,839",          2.10,"9,359","9,196",          1.02,"18,283","8,979",          2.04,"9,233","9,050",          1.02
4689025300,전라남도 완도군 금일읍,"3,842","2,068",          1.86,"1,948","1,894",          1.03,"3,807","2,083",          1.83,"1,929","1,878",          1.03,"3,757","2,099",          1.79,"1,899","1,858",          1.02
4689025600,전라남도 완도군 노화읍,"4,559","2,195",          2.08,"2,272","2,287",          0.99,"4,490","2,222",          2.02,"2,235","2,255",          0.99,"4,440","2,241",          1.98,"2,221","2,219",          1.00
4689029000,전라남도 완도군 노화읍넙도출장소,823,422,          1.95,442,381,          1.16,787,413,          1.91,426,361,          1.18,780,415,          1.88,427,353,          1.21
4689031000,전라남도 완도군 군외면,"3,372","1,889",          1.79,"1,685","1,687",          1.00,"3,324","1,891",          1.76,"1,660","1,664",          1.00,"3,260","1,917",          1.70,"1,631","1,629",          1.00
4689032000,전라남도 완도군 신지면,"3,590","1,897",          1.89,"1,830","1,760",          1.04,"3,513","1,890",          1.86,"1,789","1,724",          1.04,"3,423","1,901",          1.80,"1,748","1,675",          1.04
4689033000,전라남도 완도군 고금면,"4,444","2,366",          1.88,"2,148","2,296",          0.94,"4,370","2,367",          1.85,"2,124","2,246",          0.95,"4,273","2,387",          1.79,"2,083","2,190",          0.95
4689034000,전라남도 완도군 약산면,"2,432","1,355",          1.79,"1,224","1,208",          1.01,"2,419","1,336",          1.81,"1,227","1,192",          1.03,"2,377","1,365",          1.74,"1,200","1,177",          1.02
4689035000,전라남도 완도군 청산면,"2,154","1,206",          1.79,"1,045","1,109",          0.94,"2,101","1,179",          1.78,"1,043","1,058",          0.99,"2,076","1,199",          1.73,"1,019","1,057",          0.96
4689035500,전라남도 완도군 청산면모도출장소,228,130,          1.75,123,105,          1.17,228,125,          1.82,116,112,          1.04,227,134,          1.69,119,108,          1.10
4689036000,전라남도 완도군 소안면,"2,623","1,296",          2.02,"1,277","1,346",          0.95,"2,580","1,290",          2.00,"1,261","1,319",          0.96,"2,531","1,306",          1.94,"1,245","1,286",          0.97
4689037000,전라남도 완도군 금당면,"1,023",534,          1.92,509,514,          0.99,990,537,          1.84,496,494,          1.00,980,538,          1.82,490,490,          1.00
4689038000,전라남도 완도군 보길면,"2,749","1,229",          2.24,"1,386","1,363",          1.02,"2,705","1,234",          2.19,"1,370","1,335",          1.03,"2,694","1,273",          2.12,"1,356","1,338",          1.01
4689039000,전라남도 완도군 생일면,828,456,          1.82,426,402,          1.06,820,466,          1.76,422,398,          1.06,815,487,          1.67,428,387,          1.11
4690000000,전라남도 진도군 ,"31,219","16,110",          1.94,"15,328","15,891",          0.96,"30,715","16,102",          1.91,"15,093","15,622",          0.97,"31,227","16,840",          1.85,"15,429","15,798",          0.98
